disasternumber,totalnumberiaapproved,totalamountihpapproved,totalamounthaapproved,totalamountonaapproved,totalobligatedamountpa,totalobligatedamountcatab,totalobligatedamountcatc2g,totalobligatedamounthmgp,paloaddate,ialoaddate,disasternumber_filled,totalnumberiaapproved_filled,totalamountihpapproved_filled,totalamounthaapproved_filled,totalamountonaapproved_filled,totalobligatedamountpa_filled,totalobligatedamountcatab_filled,totalobligatedamountcatc2g_filled,totalobligatedamounthmgp_filled
2364,,,,,,,,,,,2364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2365,,,,,,,,,,,2365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2366,,,,,,,,,,,2366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4105,,,,,6153471.49,5824040.89,298796.6,955286.72,2026-02-06,,4105,0.0,0.0,0.0,0.0,6153471.49,5824040.89,298796.6,955286.72
2857,,,,,1890446.08,16713.59,,0.0,2026-02-06,,2857,0.0,0.0,0.0,0.0,1890446.08,16713.59,0.0,0.0
5048,,,,,2273317.23,18443.35,,0.0,2026-02-06,,5048,0.0,0.0,0.0,0.0,2273317.23,18443.35,0.0,0.0
2371,,,,,,,,,,,2371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3530,,,,,2208510.74,2085708.08,,,2026-02-06,,3530,0.0,0.0,0.0,0.0,2208510.74,2085708.08,0.0,0.0
2913,,,,,140212.14,20608.17,,0.0,2026-02-06,,2913,0.0,0.0,0.0,0.0,140212.14,20608.17,0.0,0.0
3574,,,,,80381.85,80381.85,,,2026-02-06,,3574,0.0,0.0,0.0,0.0,80381.85,80381.85,0.0,0.0
5507,,,,,,,,0.0,,,5507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5508,,,,,,,,0.0,,,5508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5024,,,,,8331302.41,271414.35,,0.0,2026-02-06,,5024,0.0,0.0,0.0,0.0,8331302.41,271414.35,0.0,0.0
1806,,,,,1107827.99,415990.06,407110.11,3947586.15,2026-02-06,,1806,0.0,0.0,0.0,0.0,1107827.99,415990.06,407110.11,3947586.15
2751,,,,,5099.94,,,0.0,2026-02-06,,2751,0.0,0.0,0.0,0.0,5099.94,0.0,0.0,0.0
3139,,,,,1064337.65,1064337.65,,,2026-02-06,,3139,0.0,0.0,0.0,0.0,1064337.65,1064337.65,0.0,0.0
2392,,,,,,,,,,,2392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2328,,,,,1457745.93,1457745.93,,,2026-02-06,,2328,0.0,0.0,0.0,0.0,1457745.93,1457745.93,0.0,0.0
1392,,,,,4938627.13,4905529.68,,1792038.0,2026-02-06,,1392,0.0,0.0,0.0,0.0,4938627.13,4905529.68,0.0,1792038.0
2395,,,,,,,,,,,2395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5041,,,,,5721365.01,201109.1,,0.0,2026-02-06,,5041,0.0,0.0,0.0,0.0,5721365.01,201109.1,0.0,0.0
2397,,,,,,,,,,,2397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2326,,,,,70842.0,70842.0,,,2026-02-06,,2326,0.0,0.0,0.0,0.0,70842.0,70842.0,0.0,0.0
2683,,,,,2018598.83,103132.29,,0.0,2026-02-06,,2683,0.0,0.0,0.0,0.0,2018598.83,103132.29,0.0,0.0
2664,,,,,498799.41,,,0.0,2026-02-06,,2664,0.0,0.0,0.0,0.0,498799.41,0.0,0.0,0.0
2498,,,,,458796.73,5841.16,,0.0,2026-02-06,,2498,0.0,0.0,0.0,0.0,458796.73,5841.16,0.0,0.0
2343,,,,,102666.28,102666.28,,,2026-02-06,,2343,0.0,0.0,0.0,0.0,102666.28,102666.28,0.0,0.0
2580,,,,,3012422.79,38947.0,,0.0,2026-02-06,,2580,0.0,0.0,0.0,0.0,3012422.79,38947.0,0.0,0.0
